:START_ID,:END_ID,:TYPE
EXP_0068,PFAS_053,TARGETS_PFAS
EXP_0069,PFAS_084,TARGETS_PFAS
EXP_0070,PFAS_156,TARGETS_PFAS
EXP_0071,PFAS_052,TARGETS_PFAS
EXP_0072,PFAS_199,TARGETS_PFAS
EXP_0073,PFAS_054,TARGETS_PFAS
EXP_0074,PFAS_156,TARGETS_PFAS
EXP_0075,PFAS_052,TARGETS_PFAS
EXP_0076,PFAS_199,TARGETS_PFAS
EXP_0077,PFAS_054,TARGETS_PFAS
EXP_0078,PFAS_156,TARGETS_PFAS
EXP_0079,PFAS_052,TARGETS_PFAS
EXP_0080,PFAS_199,TARGETS_PFAS
EXP_0081,PFAS_054,TARGETS_PFAS
EXP_0083,PFAS_156,TARGETS_PFAS
EXP_0085,PFAS_156,TARGETS_PFAS
EXP_0086,PFAS_054,TARGETS_PFAS
EXP_0087,PFAS_156,TARGETS_PFAS
EXP_0088,PFAS_054,TARGETS_PFAS
EXP_0089,PFAS_084,TARGETS_PFAS
EXP_0090,PFAS_098,TARGETS_PFAS
EXP_0091,PFAS_053,TARGETS_PFAS
EXP_0092,PFAS_139,TARGETS_PFAS
EXP_0093,PFAS_155,TARGETS_PFAS
EXP_0094,PFAS_052,TARGETS_PFAS
EXP_0095,PFAS_076,TARGETS_PFAS
EXP_0096,PFAS_200,TARGETS_PFAS
EXP_0097,PFAS_201,TARGETS_PFAS
EXP_0098,PFAS_202,TARGETS_PFAS
EXP_0099,PFAS_156,TARGETS_PFAS
EXP_0100,PFAS_054,TARGETS_PFAS
EXP_0101,PFAS_084,TARGETS_PFAS
EXP_0102,PFAS_098,TARGETS_PFAS
EXP_0103,PFAS_053,TARGETS_PFAS
EXP_0104,PFAS_139,TARGETS_PFAS
EXP_0105,PFAS_155,TARGETS_PFAS
EXP_0106,PFAS_052,TARGETS_PFAS
EXP_0107,PFAS_076,TARGETS_PFAS
EXP_0108,PFAS_200,TARGETS_PFAS
EXP_0109,PFAS_201,TARGETS_PFAS
EXP_0110,PFAS_202,TARGETS_PFAS
EXP_0111,PFAS_054,TARGETS_PFAS
EXP_0112,PFAS_054,TARGETS_PFAS
EXP_0113,PFAS_156,TARGETS_PFAS
EXP_0114,PFAS_156,TARGETS_PFAS
EXP_0115,PFAS_156,TARGETS_PFAS
EXP_0116,PFAS_054,TARGETS_PFAS
EXP_0117,PFAS_156,TARGETS_PFAS
EXP_0118,PFAS_054,TARGETS_PFAS
EXP_0119,PFAS_156,TARGETS_PFAS
EXP_0120,PFAS_054,TARGETS_PFAS
EXP_0121,PFAS_156,TARGETS_PFAS
EXP_0122,PFAS_156,TARGETS_PFAS
EXP_0123,PFAS_054,TARGETS_PFAS
EXP_0124,PFAS_156,TARGETS_PFAS
EXP_0125,PFAS_098,TARGETS_PFAS
EXP_0126,PFAS_139,TARGETS_PFAS
EXP_0127,PFAS_084,TARGETS_PFAS
EXP_0128,PFAS_053,TARGETS_PFAS
EXP_0129,PFAS_156,TARGETS_PFAS
EXP_0130,PFAS_020,TARGETS_PFAS
EXP_0131,PFAS_053,TARGETS_PFAS
EXP_0132,PFAS_156,TARGETS_PFAS
EXP_0133,PFAS_156,TARGETS_PFAS
EXP_0134,PFAS_054,TARGETS_PFAS
EXP_0135,PFAS_156,TARGETS_PFAS
EXP_0136,PFAS_098,TARGETS_PFAS
EXP_0137,PFAS_139,TARGETS_PFAS
EXP_0138,PFAS_155,TARGETS_PFAS
EXP_0139,PFAS_052,TARGETS_PFAS
EXP_0140,PFAS_158,TARGETS_PFAS
EXP_0141,PFAS_154,TARGETS_PFAS
EXP_0142,PFAS_084,TARGETS_PFAS
EXP_0143,PFAS_128,TARGETS_PFAS
EXP_0144,PFAS_053,TARGETS_PFAS
EXP_0145,PFAS_020,TARGETS_PFAS
EXP_0146,PFAS_198,TARGETS_PFAS
EXP_0147,PFAS_098,TARGETS_PFAS
EXP_0148,PFAS_098,TARGETS_PFAS
EXP_0149,PFAS_098,TARGETS_PFAS
EXP_0150,PFAS_098,TARGETS_PFAS
EXP_0151,PFAS_156,TARGETS_PFAS
EXP_0152,PFAS_084,TARGETS_PFAS
EXP_0153,PFAS_155,TARGETS_PFAS
EXP_0154,PFAS_052,TARGETS_PFAS
EXP_0155,PFAS_196,TARGETS_PFAS
EXP_0156,PFAS_098,TARGETS_PFAS
EXP_0157,PFAS_054,TARGETS_PFAS
EXP_0158,PFAS_197,TARGETS_PFAS
EXP_0159,PFAS_156,TARGETS_PFAS
EXP_0160,PFAS_098,TARGETS_PFAS
EXP_0161,PFAS_139,TARGETS_PFAS
EXP_0162,PFAS_054,TARGETS_PFAS
EXP_0163,PFAS_084,TARGETS_PFAS
EXP_0164,PFAS_128,TARGETS_PFAS
EXP_0165,PFAS_053,TARGETS_PFAS
EXP_0166,PFAS_020,TARGETS_PFAS
EXP_0167,PFAS_156,TARGETS_PFAS
EXP_0168,PFAS_155,TARGETS_PFAS
EXP_0169,PFAS_156,TARGETS_PFAS
EXP_0170,PFAS_128,TARGETS_PFAS
EXP_0171,PFAS_163,TARGETS_PFAS
EXP_0172,PFAS_156,TARGETS_PFAS
EXP_0173,PFAS_156,TARGETS_PFAS
