:ID,:LABEL,pfas_id,pfas_name,property,value,type,unit
EC_017_TPSA,PFASProperty,PFAS_017,"Ammonium perfluoro[(5-methoxy-1,3-dioxolan-4-yl)oxy]acetate",TPSA,113.55,Calculated,
EC_017_QED,PFASProperty,PFAS_017,"Ammonium perfluoro[(5-methoxy-1,3-dioxolan-4-yl)oxy]acetate",QED,0.7541,Calculated,
EC_018_logKow,PFASProperty,PFAS_018,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",logKow,5.55,Experimental/Predicted,
EC_018_ExposureScore_Water,PFASProperty,PFAS_018,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",ExposureScore_Water,0.2,Score,
EC_018_HazScore_EcoChronic,PFASProperty,PFAS_018,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",HazScore_EcoChronic,0.09,Score,
EC_018_TPSA,PFASProperty,PFAS_018,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",TPSA,55.76,Calculated,
EC_018_QED,PFASProperty,PFAS_018,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",QED,0.5079,Calculated,
EC_019_logKow,PFASProperty,PFAS_019,N-Ethylperfluorooctane sulfonamide (N-EtFOSA),logKow,6.76,Experimental/Predicted,
EC_019_ExposureScore_Water,PFASProperty,PFAS_019,N-Ethylperfluorooctane sulfonamide (N-EtFOSA),ExposureScore_Water,0.38,Score,
EC_019_HazScore_EcoChronic,PFASProperty,PFAS_019,N-Ethylperfluorooctane sulfonamide (N-EtFOSA),HazScore_EcoChronic,0.06,Score,
EC_019_TPSA,PFASProperty,PFAS_019,N-Ethylperfluorooctane sulfonamide (N-EtFOSA),TPSA,46.17,Calculated,
EC_019_QED,PFASProperty,PFAS_019,N-Ethylperfluorooctane sulfonamide (N-EtFOSA),QED,0.4346,Calculated,
EC_020_logKow,PFASProperty,PFAS_020,Perfluoroheptanoic acid (PFHpA),logKow,4.15,Experimental/Predicted,
EC_020_ExposureScore_Water,PFASProperty,PFAS_020,Perfluoroheptanoic acid (PFHpA),ExposureScore_Water,0.21,Score,
EC_020_HazScore_EcoChronic,PFASProperty,PFAS_020,Perfluoroheptanoic acid (PFHpA),HazScore_EcoChronic,0.02,Score,
EC_020_TPSA,PFASProperty,PFAS_020,Perfluoroheptanoic acid (PFHpA),TPSA,37.3,Calculated,
EC_020_QED,PFASProperty,PFAS_020,Perfluoroheptanoic acid (PFHpA),QED,0.7539,Calculated,
EC_021_logKow,PFASProperty,PFAS_021,2-(N-Methylperfluorooctanesulfonamido)acetic acid (MeFOSAA),logKow,5.73,Experimental/Predicted,
EC_021_ExposureScore_Water,PFASProperty,PFAS_021,2-(N-Methylperfluorooctanesulfonamido)acetic acid (MeFOSAA),ExposureScore_Water,0.06,Score,
EC_021_HazScore_EcoChronic,PFASProperty,PFAS_021,2-(N-Methylperfluorooctanesulfonamido)acetic acid (MeFOSAA),HazScore_EcoChronic,0.06,Score,
EC_021_TPSA,PFASProperty,PFAS_021,2-(N-Methylperfluorooctanesulfonamido)acetic acid (MeFOSAA),TPSA,74.68,Calculated,
EC_021_QED,PFASProperty,PFAS_021,2-(N-Methylperfluorooctanesulfonamido)acetic acid (MeFOSAA),QED,0.3975,Calculated,
EC_022_logKow,PFASProperty,PFAS_022,(Perfluorododecyl)ethyl methacrylate,logKow,10.33,Experimental/Predicted,
EC_022_ExposureScore_Water,PFASProperty,PFAS_022,(Perfluorododecyl)ethyl methacrylate,ExposureScore_Water,0.31,Score,
EC_022_HazScore_EcoChronic,PFASProperty,PFAS_022,(Perfluorododecyl)ethyl methacrylate,HazScore_EcoChronic,0.08,Score,
EC_022_TPSA,PFASProperty,PFAS_022,(Perfluorododecyl)ethyl methacrylate,TPSA,26.3,Calculated,
EC_022_QED,PFASProperty,PFAS_022,(Perfluorododecyl)ethyl methacrylate,QED,0.1013,Calculated,
EC_023_logKow,PFASProperty,PFAS_023,Perfluorooctadecanoic acid (PFODA),logKow,11.51,Experimental/Predicted,
EC_023_ExposureScore_Water,PFASProperty,PFAS_023,Perfluorooctadecanoic acid (PFODA),ExposureScore_Water,0.17,Score,
EC_023_HazScore_EcoChronic,PFASProperty,PFAS_023,Perfluorooctadecanoic acid (PFODA),HazScore_EcoChronic,0.01,Score,
EC_023_TPSA,PFASProperty,PFAS_023,Perfluorooctadecanoic acid (PFODA),TPSA,37.3,Calculated,
EC_023_QED,PFASProperty,PFAS_023,Perfluorooctadecanoic acid (PFODA),QED,0.1567,Calculated,
EC_024_logKow,PFASProperty,PFAS_024,(Perfluorodecanyl)ethylsulfonyl chloride,logKow,8.99,Experimental/Predicted,
EC_024_ExposureScore_Water,PFASProperty,PFAS_024,(Perfluorodecanyl)ethylsulfonyl chloride,ExposureScore_Water,0.2,Score,
EC_024_HazScore_EcoChronic,PFASProperty,PFAS_024,(Perfluorodecanyl)ethylsulfonyl chloride,HazScore_EcoChronic,0.08,Score,
EC_024_TPSA,PFASProperty,PFAS_024,(Perfluorodecanyl)ethylsulfonyl chloride,TPSA,34.14,Calculated,
EC_024_QED,PFASProperty,PFAS_024,(Perfluorodecanyl)ethylsulfonyl chloride,QED,0.1756,Calculated,
EC_025_logKow,PFASProperty,PFAS_025,N-Methylperfluorooctanesulfonamide (N-MeFOSA),logKow,6.27,Experimental/Predicted,
EC_025_ExposureScore_Water,PFASProperty,PFAS_025,N-Methylperfluorooctanesulfonamide (N-MeFOSA),ExposureScore_Water,0.29,Score,
EC_025_HazScore_EcoChronic,PFASProperty,PFAS_025,N-Methylperfluorooctanesulfonamide (N-MeFOSA),HazScore_EcoChronic,0.02,Score,
EC_025_TPSA,PFASProperty,PFAS_025,N-Methylperfluorooctanesulfonamide (N-MeFOSA),TPSA,46.17,Calculated,
EC_025_QED,PFASProperty,PFAS_025,N-Methylperfluorooctanesulfonamide (N-MeFOSA),QED,0.4865,Calculated,
EC_026_logKow,PFASProperty,PFAS_026,2-(Perfluorobutyl)ethyl acrylate,logKow,4.43,Experimental/Predicted,
EC_026_ExposureScore_Water,PFASProperty,PFAS_026,2-(Perfluorobutyl)ethyl acrylate,ExposureScore_Water,0.2,Score,
EC_026_HazScore_EcoChronic,PFASProperty,PFAS_026,2-(Perfluorobutyl)ethyl acrylate,HazScore_EcoChronic,0.01,Score,
EC_026_TPSA,PFASProperty,PFAS_026,2-(Perfluorobutyl)ethyl acrylate,TPSA,26.3,Calculated,
EC_026_QED,PFASProperty,PFAS_026,2-(Perfluorobutyl)ethyl acrylate,QED,0.4251,Calculated,
EC_027_logKow,PFASProperty,PFAS_027,N-Ethyl--N-[2-(phosphonooxy)ethyl]perfluoroheptanesulfonamide,logKow,5.25,Experimental/Predicted,
EC_027_ExposureScore_Water,PFASProperty,PFAS_027,N-Ethyl--N-[2-(phosphonooxy)ethyl]perfluoroheptanesulfonamide,ExposureScore_Water,0.2,Score,
EC_027_HazScore_EcoChronic,PFASProperty,PFAS_027,N-Ethyl--N-[2-(phosphonooxy)ethyl]perfluoroheptanesulfonamide,HazScore_EcoChronic,0.08,Score,
EC_027_TPSA,PFASProperty,PFAS_027,N-Ethyl--N-[2-(phosphonooxy)ethyl]perfluoroheptanesulfonamide,TPSA,104.14,Calculated,
EC_027_QED,PFASProperty,PFAS_027,N-Ethyl--N-[2-(phosphonooxy)ethyl]perfluoroheptanesulfonamide,QED,0.2584,Calculated,
EC_028_logKow,PFASProperty,PFAS_028,N-(2-Hydroxyethyl)-N-methylperfluorohexanesulfonamide,logKow,4.17,Experimental/Predicted,
EC_028_ExposureScore_Water,PFASProperty,PFAS_028,N-(2-Hydroxyethyl)-N-methylperfluorohexanesulfonamide,ExposureScore_Water,0.3,Score,
EC_028_HazScore_EcoChronic,PFASProperty,PFAS_028,N-(2-Hydroxyethyl)-N-methylperfluorohexanesulfonamide,HazScore_EcoChronic,0.13,Score,
EC_028_TPSA,PFASProperty,PFAS_028,N-(2-Hydroxyethyl)-N-methylperfluorohexanesulfonamide,TPSA,57.61,Calculated,
EC_028_QED,PFASProperty,PFAS_028,N-(2-Hydroxyethyl)-N-methylperfluorohexanesulfonamide,QED,0.5709,Calculated,
EC_029_logKow,PFASProperty,PFAS_029,Perfluorobutane sulfonamido amine,logKow,3.78,Experimental/Predicted,
EC_029_ExposureScore_Water,PFASProperty,PFAS_029,Perfluorobutane sulfonamido amine,ExposureScore_Water,0.24,Score,
EC_029_TPSA,PFASProperty,PFAS_029,Perfluorobutane sulfonamido amine,TPSA,49.41,Calculated,
EC_029_QED,PFASProperty,PFAS_029,Perfluorobutane sulfonamido amine,QED,0.5162,Calculated,
EC_030_ExposureScore_Water,PFASProperty,PFAS_030,Bis(2-hydroxyethyl)ammonium perfluorohexanesulfonate,ExposureScore_Water,0.24,Score,
EC_030_HazScore_EcoChronic,PFASProperty,PFAS_030,Bis(2-hydroxyethyl)ammonium perfluorohexanesulfonate,HazScore_EcoChronic,0.08,Score,
EC_030_TPSA,PFASProperty,PFAS_030,Bis(2-hydroxyethyl)ammonium perfluorohexanesulfonate,TPSA,114.27,Calculated,
EC_030_QED,PFASProperty,PFAS_030,Bis(2-hydroxyethyl)ammonium perfluorohexanesulfonate,QED,0.2435,Calculated,
EC_031_ExposureScore_Water,PFASProperty,PFAS_031,Bis(2-hydroxyethyl)ammonium perfluorobutanesulfonate,ExposureScore_Water,0.24,Score,
EC_031_HazScore_EcoChronic,PFASProperty,PFAS_031,Bis(2-hydroxyethyl)ammonium perfluorobutanesulfonate,HazScore_EcoChronic,0.08,Score,
EC_031_TPSA,PFASProperty,PFAS_031,Bis(2-hydroxyethyl)ammonium perfluorobutanesulfonate,TPSA,114.27,Calculated,
EC_031_QED,PFASProperty,PFAS_031,Bis(2-hydroxyethyl)ammonium perfluorobutanesulfonate,QED,0.3001,Calculated,
EC_032_logKow,PFASProperty,PFAS_032,"3-(Perfluorooctanesulfonamido)-N,N,N-trimethylpropan-1-aminium",logKow,5.49,Experimental/Predicted,
EC_032_ExposureScore_Water,PFASProperty,PFAS_032,"3-(Perfluorooctanesulfonamido)-N,N,N-trimethylpropan-1-aminium",ExposureScore_Water,0.23,Score,
EC_032_HazScore_EcoChronic,PFASProperty,PFAS_032,"3-(Perfluorooctanesulfonamido)-N,N,N-trimethylpropan-1-aminium",HazScore_EcoChronic,0.08,Score,
EC_032_TPSA,PFASProperty,PFAS_032,"3-(Perfluorooctanesulfonamido)-N,N,N-trimethylpropan-1-aminium",TPSA,172.6,Calculated,
EC_032_QED,PFASProperty,PFAS_032,"3-(Perfluorooctanesulfonamido)-N,N,N-trimethylpropan-1-aminium",QED,0.0318,Calculated,
EC_033_logKow,PFASProperty,PFAS_033,Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid,logKow,2.5,Experimental/Predicted,
EC_033_ExposureScore_Water,PFASProperty,PFAS_033,Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid,ExposureScore_Water,0.29,Score,
EC_033_HazScore_EcoChronic,PFASProperty,PFAS_033,Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid,HazScore_EcoChronic,0.02,Score,
EC_033_TPSA,PFASProperty,PFAS_033,Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid,TPSA,57.2,Calculated,
EC_033_QED,PFASProperty,PFAS_033,Perfluoro-1-(perfluoroethyl)cyclohexanesulfonic acid,QED,0.3185,Calculated,
EC_034_logKow,PFASProperty,PFAS_034,"1,6-Divinylperfluorohexane",logKow,6.64,Experimental/Predicted,
EC_034_ExposureScore_Water,PFASProperty,PFAS_034,"1,6-Divinylperfluorohexane",ExposureScore_Water,0.24,Score,
EC_034_HazScore_EcoChronic,PFASProperty,PFAS_034,"1,6-Divinylperfluorohexane",HazScore_EcoChronic,0.06,Score,
EC_034_TPSA,PFASProperty,PFAS_034,"1,6-Divinylperfluorohexane",TPSA,0.0,Calculated,
EC_034_QED,PFASProperty,PFAS_034,"1,6-Divinylperfluorohexane",QED,0.4371,Calculated,
EC_035_logKow,PFASProperty,PFAS_035,1H-Perfluorohexane,logKow,4.22,Experimental/Predicted,
EC_035_ExposureScore_Water,PFASProperty,PFAS_035,1H-Perfluorohexane,ExposureScore_Water,0.31,Score,
EC_035_HazScore_EcoChronic,PFASProperty,PFAS_035,1H-Perfluorohexane,HazScore_EcoChronic,0.01,Score,
EC_035_TPSA,PFASProperty,PFAS_035,1H-Perfluorohexane,TPSA,0.0,Calculated,
EC_035_QED,PFASProperty,PFAS_035,1H-Perfluorohexane,QED,0.6755,Calculated,
EC_036_logKow,PFASProperty,PFAS_036,Perfluoroethane,logKow,2.15,Experimental/Predicted,
EC_036_ExposureScore_Water,PFASProperty,PFAS_036,Perfluoroethane,ExposureScore_Water,0.42,Score,
EC_036_TPSA,PFASProperty,PFAS_036,Perfluoroethane,TPSA,0.0,Calculated,
EC_036_QED,PFASProperty,PFAS_036,Perfluoroethane,QED,0.4494,Calculated,
EC_037_logKow,PFASProperty,PFAS_037,1-(Perfluorohexyl)octane,logKow,8.82,Experimental/Predicted,
EC_037_ExposureScore_Water,PFASProperty,PFAS_037,1-(Perfluorohexyl)octane,ExposureScore_Water,0.35,Score,
EC_037_HazScore_EcoChronic,PFASProperty,PFAS_037,1-(Perfluorohexyl)octane,HazScore_EcoChronic,0.01,Score,
EC_037_TPSA,PFASProperty,PFAS_037,1-(Perfluorohexyl)octane,TPSA,0.0,Calculated,
EC_037_QED,PFASProperty,PFAS_037,1-(Perfluorohexyl)octane,QED,0.2347,Calculated,
EC_038_logKow,PFASProperty,PFAS_038,"1H,1H,2H,2H-Perfluorooctyl iodide",logKow,6.63,Experimental/Predicted,
EC_038_ExposureScore_Water,PFASProperty,PFAS_038,"1H,1H,2H,2H-Perfluorooctyl iodide",ExposureScore_Water,0.36,Score,
EC_038_HazScore_EcoChronic,PFASProperty,PFAS_038,"1H,1H,2H,2H-Perfluorooctyl iodide",HazScore_EcoChronic,0.01,Score,
EC_038_TPSA,PFASProperty,PFAS_038,"1H,1H,2H,2H-Perfluorooctyl iodide",TPSA,0.0,Calculated,
EC_038_QED,PFASProperty,PFAS_038,"1H,1H,2H,2H-Perfluorooctyl iodide",QED,0.2694,Calculated,
EC_039_logKow,PFASProperty,PFAS_039,Ethyl perfluoropropionate,logKow,2.25,Experimental/Predicted,
EC_039_ExposureScore_Water,PFASProperty,PFAS_039,Ethyl perfluoropropionate,ExposureScore_Water,0.2,Score,
EC_039_HazScore_EcoChronic,PFASProperty,PFAS_039,Ethyl perfluoropropionate,HazScore_EcoChronic,0.01,Score,
EC_039_TPSA,PFASProperty,PFAS_039,Ethyl perfluoropropionate,TPSA,26.3,Calculated,
EC_039_QED,PFASProperty,PFAS_039,Ethyl perfluoropropionate,QED,0.4917,Calculated,
EC_040_logKow,PFASProperty,PFAS_040,"1-Iodo-1H,1H,2H,2H-perfluorotetradecane",logKow,10.65,Experimental/Predicted,
EC_040_ExposureScore_Water,PFASProperty,PFAS_040,"1-Iodo-1H,1H,2H,2H-perfluorotetradecane",ExposureScore_Water,0.24,Score,
EC_040_HazScore_EcoChronic,PFASProperty,PFAS_040,"1-Iodo-1H,1H,2H,2H-perfluorotetradecane",HazScore_EcoChronic,0.02,Score,
EC_040_TPSA,PFASProperty,PFAS_040,"1-Iodo-1H,1H,2H,2H-perfluorotetradecane",TPSA,0.0,Calculated,
EC_040_QED,PFASProperty,PFAS_040,"1-Iodo-1H,1H,2H,2H-perfluorotetradecane",QED,0.1055,Calculated,
EC_041_logKow,PFASProperty,PFAS_041,Perfluoroheptane sulfonamido amine,logKow,5.79,Experimental/Predicted,
EC_041_ExposureScore_Water,PFASProperty,PFAS_041,Perfluoroheptane sulfonamido amine,ExposureScore_Water,0.2,Score,
EC_041_HazScore_EcoChronic,PFASProperty,PFAS_041,Perfluoroheptane sulfonamido amine,HazScore_EcoChronic,0.2,Score,
EC_041_TPSA,PFASProperty,PFAS_041,Perfluoroheptane sulfonamido amine,TPSA,49.41,Calculated,
EC_041_QED,PFASProperty,PFAS_041,Perfluoroheptane sulfonamido amine,QED,0.3198,Calculated,
EC_042_logKow,PFASProperty,PFAS_042,N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluorohexanesulfonamide,logKow,4.58,Experimental/Predicted,
EC_042_ExposureScore_Water,PFASProperty,PFAS_042,N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluorohexanesulfonamide,ExposureScore_Water,0.2,Score,
EC_042_HazScore_EcoChronic,PFASProperty,PFAS_042,N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluorohexanesulfonamide,HazScore_EcoChronic,0.08,Score,
EC_042_TPSA,PFASProperty,PFAS_042,N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluorohexanesulfonamide,TPSA,104.14,Calculated,
EC_042_QED,PFASProperty,PFAS_042,N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluorohexanesulfonamide,QED,0.3015,Calculated,
EC_043_ExposureScore_Water,PFASProperty,PFAS_043,Bis(2-hydroxyethyl)ammonium perfluorooctanesulfonic acid,ExposureScore_Water,0.56,Score,
EC_043_HazScore_EcoChronic,PFASProperty,PFAS_043,Bis(2-hydroxyethyl)ammonium perfluorooctanesulfonic acid,HazScore_EcoChronic,0.46,Score,
EC_043_TPSA,PFASProperty,PFAS_043,Bis(2-hydroxyethyl)ammonium perfluorooctanesulfonic acid,TPSA,114.27,Calculated,
