:ID,:LABEL,Name,CAS_RN,SMILES,StdInChIKey,PubChem_CID,DTXSID,Molecular_Formula,logKow,logKow_predicted,n_F_atoms,MW,functional_group,chain_length,Ether_Linkage,HeavyAtomCount,HBD,HBA,RotatableBonds,TPSA,Fsp3,logP_rdkit,MolMR,QED,NumCl,NumBr,NumN,NumO,NumS,BertzCT,Kappa1,Kappa2,Kappa3,ExposureScore_Water_KEMI,HazScore_EcoChronic_KEMI,ValidationLevel_KEMI,pKa,node_type,CMC (mg/L)
PFAS_164,PFAS,Perfluorodecyl iodide,423-62-1,FC(C(C(C(C(C(F)(F)I)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,UDWBMXSQHOHKOI-UHFFFAOYSA-N,67920.0,DTXSID8059974,C10F21I1,8.33,8.33,21.0,645.8709,Iodinated,3.0,no,32.0,0.0,0.0,8.0,0.0,1.0,7.6589,64.598,0.1445,0.0,0.0,0.0,0.0,0.0,632.3494,31.26,7.3772,3.6276,0.28,0.01,3.0,,compound,
PFAS_165,PFAS,"1H,1H-Perfluorobutyl acrylate",424-64-6,FC(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,PLXOUIVCSUBZIX-UHFFFAOYSA-N,67923.0,DTXSID8059978,C7H5F7O2,3.27,3.27,7.0,254.0178,Ester,3.0,yes,16.0,0.0,2.0,4.0,26.3,0.5714,2.5485,37.105,0.4375,0.0,0.0,0.0,2.0,0.0,280.9502,14.72,4.3004,2.8592,0.2,0.02,2.0,,compound,
PFAS_166,PFAS,"1H,1H,2H,2H-Perfluorohexyl methacrylate",1799-84-4,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)COC(C(C)=C)=O,TYNRPOFACABVSI-UHFFFAOYSA-N,74534.0,DTXSID8061979,C10H9F9O2,4.98,4.98,9.0,332.0459,Ester,2.0,yes,21.0,0.0,2.0,6.0,26.3,0.7,3.964,51.286,0.418,0.0,0.0,0.0,2.0,0.0,411.2417,19.58,5.7578,3.817,0.28,0.01,3.0,,compound,
PFAS_167,PFAS,2-(Perfluorooctyl)ethyl methacrylate,1996-88-9,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,HBZFBSFGXQBQTB-UHFFFAOYSA-N,160606.0,DTXSID8062101,C14H9F17O2,7.65,7.65,17.0,532.0331,Ester,9.0,yes,33.0,0.0,2.0,10.0,26.3,0.7857,6.5052,71.074,0.1825,0.0,0.0,0.0,2.0,0.0,749.3027,31.02,8.3515,4.544,0.31,0.1,2.0,,compound,
PFAS_168,PFAS,Perfluoropentanesulfonic acid (PFPeS),2706-91-4,O=[S](=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ACEKLXZRZOWKRY-UHFFFAOYSA-N,75922.0,DTXSID8062600,C5H1F11O3S1,2.49,2.49,11.0,349.9471,Sulfonic acid/Sulfonate,6.0,yes,20.0,1.0,2.0,4.0,54.37,1.0,2.9352,37.3916,0.6267,0.0,0.0,0.0,3.0,1.0,474.7773,19.14,4.3157,2.2917,0.17,0.08,2.0,,compound,
PFAS_169,PFAS,N-ethyl-N-[2-(phosphonooxy)ethyl]perfluorooctanesulfonamide,3820-83-5,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](=O)(=O)N(CC)CCO[P](=O)(O[H])O[H],JRSUJBJSUYPODE-UHFFFAOYSA-N,77442.0,DTXSID8063204,C12H11F17N1O6P1S1,5.91,5.91,17.0,650.9773,Sulfonamide,8.0,yes,38.0,2.0,4.0,13.0,104.14,1.0,4.7143,84.8469,0.2211,0.0,0.0,1.0,6.0,1.0,1007.4038,36.83,10.0301,5.411,0.2,0.08,3.0,,compound,
PFAS_170,PFAS,(Perfluorohexyl)ethylene,25291-17-2,C(C(C(C(C(C(F)(F)C(F)(F)F)(F)F)(F)F)(F)F)(F)F)=C,FYQFWFHDPNXORA-UHFFFAOYSA-N,91384.0,DTXSID8067076,C8H3F13,5.74,5.74,13.0,346.0027,Alkene/Vinyl,3.0,no,21.0,0.0,0.0,5.0,0.0,0.75,4.9112,40.987,0.4902,0.0,0.0,0.0,0.0,0.0,400.8845,19.83,4.6629,2.432,0.37,0.06,2.0,,compound,
PFAS_171,PFAS,N-Ethyl-N-[3-(trimethoxysilyl)propyl]perfluorooctanesulfonamide,61660-12-6,CCN(CCC[Si](OC)(OC)OC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,BFSVEUJCJYGSKA-UHFFFAOYSA-N,,DTXSID8069484,C16H20F17NO5SSi,,,17.0,689.056,Sulfonamide,9.0,yes,41.0,0.0,5.0,16.0,65.07,1.0,5.8732,103.0558,0.15,0.0,0.0,1.0,5.0,1.0,992.786,39.8169,11.722,5.8525,0.2,0.08,,,compound,
PFAS_172,PFAS,(Perfluorohexadecyl)ethyl iodide,65150-94-9,C(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GCGKXUZHBVVLML-UHFFFAOYSA-N,103259.0,DTXSID8070253,C18H4F33I1,13.32,13.32,33.0,973.8831,Iodinated,17.0,no,52.0,0.0,0.0,16.0,0.0,1.0,11.9033,103.764,0.0821,0.0,0.0,0.0,0.0,0.0,1281.8726,50.42,12.4629,5.7656,0.24,0.08,3.0,,compound,
PFAS_173,PFAS,N-Methylperfluorooctanesulfonamidoethyl acrylate,25268-77-3,C[N@@](CCOC(C=C)=O)S(C(C(C(C(C(F)(F)C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(=O)=O,RTJZWOGSCLVJLD-UHFFFAOYSA-N,91369.0,DTXSID80865199,C14H10F17N1O4S1,6.87,6.87,17.0,611.0059,Sulfonamide,3.0,yes,37.0,0.0,4.0,12.0,63.68,0.7857,4.9441,83.3898,0.1783,0.0,0.0,1.0,4.0,1.0,972.9729,34.93,9.5932,4.9107,0.29,0.08,3.0,,compound,
